number,subject
176,"L’eau et les plantes (on se limite aux Angiospermes)"
177,"La diversité des unicellulaires"
178,"Diversité et évolution des pluricellulaires"
179,"Unité, diversité des eucaryotes"
180,"Unité, diversité des champignons"
181,"Comparaison Algues - Angiospermes"
182,"Hétérotrophes dans le monde vivant"
183,"Le polymorphisme intraspécifique"
184,"De la population à l'espèce"
185,"Autogamie, allogamie"
186,"la notion d'espèce"
187,"Modalités de la reproduction et conséquences sur les populations"
188,"Notion de biocénose"
189,"Diversité des relations trophiques au sein d'un écosystème"
190,"Diversité des relations interspécifiques au sein d'un écosystème"
191,"Les mutualismes et les symbioses"
192,"Parasitisme, prédation"
193,"Parasitisme et symbiose"
194,"Compétition inter- et intra-spécifique"
195,"Structure et variations des niches écologiques"
196,"Les flux d'énergie au sein d'un écosystème"
197,"Influence de l'homme sur le flux de matière des écosystèmes"
198,"Productivité primaire au sein des écosystèmes"
199,"Les molécules azotées : leur origine et leur devenir dans les écosystèmes"
200,"La place de la Vache dans son écosystème"
201,"Les écosystèmes, des structures dynamiques"
202,"Les végétaux et la lumière"
203,"la production de matière organique par les végétaux aériens"
204,"fonctionnement végétal et cycle du C"
205,"Le recyclage de la matière organique dans la biosphère"
206,"Le devenir de la production primaire"
207,"La production primaire et son devenir"
208,"Les micro-organismes dans le cycle du carbone"
209,"La régénération du CO2 dans le cycle du Carbone"
210,"De l'ADN aux ARN"
211,"Les interactions acides nucléiques – protéines"
212,"Comparaison des génomes des procaryotes et des eucaryotes"
213,"Le chromosome eucaryote au cours du cycle cellulaire"
214,"Compartimentation et expression du génome"
215,"Les ARN"
216,"Le génome eucaryote"
217,"Le génome procaryote"
218,"Qu'est-ce qu'un gène ?"
219,"la stabilité du matériel génétique"
220,"Les transferts d'information génétique aux différentes échelles du vivant"
221,"La mitose"
222,"La variabilité du génome"
223,"La notion de brassage génétique chez les eucaryotes"
224,"Sexualité et brassage génétique"
225,"La diversification des génomes"
226,"Stabilité et variabilité de l’information génétique"
227,"Le brassage chromosomique chez les eucaryotes"
228,"Comparaison mitose – méiose"
229,"Stabilité et variabilité du patrimoine génétique au cours de la méiose"
230,"Les divisions cellulaires"
231,"Les sources de variation des génomes"
232,"La sélection naturelle"
233,"La notion de valeur sélective"
234,"Les mécanismes de l'évolution"
235,"Interactions biotiques et évolution"
236,"La spéciation"
237,"Notion de convergence évolutive"
238,"Endosymbiose et évolution"
239,"Qu'est-ce qu'un arbre phylogénétique?"
240,"Comment peut-on classer le Vivant?"
241,"Adaptation et évolution"
242,"Reproduction et évolution"
